JM20190402_0005.abf, ,JM20190402_0012.abf, ,JM20190402_0019.abf, ,JM20190402_0026.abf, ,JM20190402_0033.abf, ,JM20190402_0040.abf, ,JM20190402_0048.abf, ,JM20190402_0055.abf, ,JM20190403_0006.abf, ,JM20190403_0013.abf, ,JM20190403_0020.abf, ,JM20190403_0028.abf, ,JM20190403_0035.abf, ,JM20190403_0077.abf, ,JM20211202_0000.abf, ,JM20211202_0001.abf, ,JM20211202_0002.abf, ,JM20211202_0003.abf, ,JM20211202_0005.abf, 
141.43472290039062,19,141.6416778564453,18,141.60708618164062,19,141.21278381347656,24,141.6288604736328,11,141.62977600097656,19,141.58216857910156,22,141.62669372558594,19,141.22386169433594,15,141.6305694580078,20,141.40286254882812,11,141.63323974609375,15,141.65374755859375,16,141.5995330810547,21,141.45050048828125,24,141.20396423339844,17,141.29737854003906,16,141.2819061279297,22,141.29544067382812,11,
161.4437713623047,22,162.28396606445312,22,162.29708862304688,21,161.2585906982422,21,161.66055297851562,13,161.8556365966797,22,161.67233276367188,21,161.6549835205078,23,161.36248779296875,19,162.27415466308594,23,161.46035766601562,19,161.6741943359375,18,162.26055908203125,19,162.28736877441406,23,161.47975158691406,22,161.31211853027344,20,161.3207244873047,18,161.3126983642578,22,161.32899475097656,11,
182.20628356933594,22,182.42575073242188,23,182.43553161621094,24,,,182.4285125732422,17,182.44480895996094,24,182.422607421875,20,182.4167938232422,26,181.60769653320312,22,182.46836853027344,25,181.609375,18,182.4088592529297,21,182.42738342285156,21,182.40457153320312,25,182.25640869140625,13,182.2146759033203,21,181.5402069091797,19,182.21144104003906,25,182.18707275390625,14,
202.1283721923828,26,202.27584838867188,25,202.281494140625,25,,,202.31031799316406,18,202.2957000732422,25,,,202.2755126953125,28,202.0869598388672,25,202.31248474121094,26,202.06959533691406,19,202.3359375,24,202.31227111816406,24,202.29156494140625,28,202.1012420654297,11,202.0604705810547,22,202.11651611328125,22,202.1199188232422,30,202.1204833984375,16,
222.32073974609375,28,222.45928955078125,27,222.354736328125,28,,,222.3942108154297,21,222.40318298339844,27,,,222.37884521484375,30,222.16921997070312,28,222.61846923828125,30,222.1825714111328,26,222.41775512695312,26,222.53370666503906,25,222.3706817626953,30,222.25921630859375,12,222.14088439941406,23,222.25637817382812,24,222.2038116455078,31,222.24452209472656,17,
242.44288635253906,28,243.25917053222656,30,243.1619873046875,31,,,243.06146240234375,23,243.093505859375,29,,,243.06283569335938,32,242.2627410888672,30,243.0900421142578,31,242.33328247070312,23,243.2645721435547,28,243.07643127441406,28,243.0947723388672,33,243.07029724121094,10,242.24510192871094,23,242.3633575439453,26,242.9026641845703,32,242.919189453125,19,
263.05145263671875,28,263.262451171875,31,263.2445068359375,33,,,263.0614929199219,26,263.0838623046875,26,,,263.0574035644531,33,262.2699279785156,32,263.0948486328125,33,263.0299072265625,24,263.28314208984375,31,263.0787353515625,30,263.0570068359375,35,263.0895690917969,8,262.8511047363281,23,262.3331604003906,27,262.8815612792969,30,262.9214172363281,20,
,,283.4654541015625,32,283.4435119628906,34,,,283.4248046875,27,,,,,283.25408935546875,31,283.046630859375,35,283.4075012207031,35,283.209716796875,28,283.4674377441406,32,283.37908935546875,33,283.2366027832031,36,283.2447814941406,6,283.0241394042969,22,283.1158447265625,28,283.1179504394531,26,283.10931396484375,22,
,,303.782958984375,34,303.79180908203125,35,,,303.50823974609375,29,,,,,,,303.1039733886719,36,303.78961181640625,34,303.2957458496094,28,303.4843444824219,33,303.7308044433594,35,303.7495422363281,41,303.3263854980469,4,303.0721740722656,17,303.1905212402344,26,303.1538391113281,20,303.1874694824219,24,
,,323.88568115234375,34,323.8768005371094,36,,,323.8689270019531,31,,,,,,,323.24749755859375,37,323.882080078125,33,323.3831787109375,30,323.873779296875,34,323.8648376464844,37,323.78582763671875,42,323.69781494140625,3,323.48785400390625,17,323.2768249511719,28,323.5072021484375,16,323.550537109375,25,
,,344.01287841796875,28,344.01904296875,37,,,343.96795654296875,33,,,,,,,343.692138671875,38,,,343.7889099121094,33,344.0123291015625,33,343.982666015625,38,343.9900817871094,43,343.8369140625,2,343.741455078125,14,343.9662170410156,23,343.6339416503906,14,343.6585693359375,26,
